iter	RMSE
0	0.1150703945
1	0.1123714565
2	0.1096594663
3	0.1084444238
4	0.1071666682
5	0.1062496641
6	0.1041274595
7	0.1034390386
8	0.1022987746
9	0.1018265345
10	0.1005836421
11	0.09998927585
12	0.0989282345
13	0.09891346625
14	0.09785323444
15	0.09642679037
16	0.09518035205
17	0.0940944716
18	0.09323038976
19	0.09230295021
20	0.09144454289
21	0.09074082154
22	0.09055024367
23	0.0896049987
24	0.0891826895
25	0.08823588584
26	0.08717945272
27	0.08636027821
28	0.08552683384
29	0.08464370571
30	0.08398689817
31	0.08309207048
32	0.08248844568
33	0.08191582711
34	0.08116702561
35	0.08089584691
36	0.080691598
37	0.07995510896
38	0.07974757786
39	0.07923062651
40	0.07852501611
41	0.07819400874
42	0.07732812815
43	0.0769585653
44	0.07623866652
45	0.07606656336
46	0.07552306839
47	0.07545612022
48	0.07511654611
49	0.07461252156
50	0.07392292834
51	0.07378422626
52	0.07318527901
53	0.07278395755
54	0.07259201355
55	0.07230094792
56	0.07167788991
57	0.07133887948
58	0.07077023886
59	0.0702596147
60	0.06953320443
61	0.06950350994
62	0.0690349535
63	0.06843713088
64	0.06815141184
65	0.06778793693
66	0.06759729525
67	0.06739916481
68	0.06685844272
69	0.06659778589
70	0.06616617657
71	0.06564756569
72	0.06540834391
73	0.0650842893
74	0.06475172839
75	0.06460149006
76	0.06407454843
77	0.06382006002
78	0.06359503501
79	0.06322316722
80	0.06319631207
81	0.06317360446
82	0.06308474214
83	0.06275881094
84	0.06261966005
85	0.06232910308
86	0.06198520963
87	0.06173520825
88	0.06142511306
89	0.06124651295
90	0.06088399779
91	0.06070840757
92	0.0604117754
93	0.06012326714
94	0.05967623969
95	0.05953960643
96	0.05931570573
97	0.05902245436
98	0.0589025572
99	0.05875111714
100	0.05858936757
101	0.05831919382
102	0.05807206103
103	0.05785269115
104	0.05783923052
105	0.05754698994
106	0.05730651371
107	0.05723541801
108	0.05702204361
109	0.05687899044
110	0.05651774892
111	0.05639371308
112	0.05600245966
113	0.05581117285
114	0.05580196
115	0.05564793809
116	0.0553018069
117	0.05503196567
118	0.05484129053
119	0.0545622119
120	0.05445361314
121	0.05427297469
122	0.05412405541
123	0.05390073053
124	0.05361327838
125	0.0533521051
126	0.05322153954
127	0.0530924217
128	0.0527763797
129	0.05262084887
130	0.05242530008
131	0.05211986541
132	0.05192477775
133	0.05178542059
134	0.05170519065
135	0.05159036972
136	0.0514062082
137	0.05112223216
138	0.05110849696
139	0.05088667651
140	0.05084403376
141	0.05071107655
142	0.05057846574
143	0.05056921541
144	0.05050336631
145	0.05039114984
146	0.05018351702
147	0.05015814636
148	0.05005873097
149	0.0498984425
150	0.04979305299
151	0.04950541264
152	0.0493424683
153	0.04923628816
154	0.04894870666
155	0.04864889825
156	0.04846034659
157	0.048445383
158	0.04842221724
159	0.04814829667
160	0.04798067547
161	0.04782957421
162	0.047592373
163	0.04740426554
164	0.047271028
165	0.04707997381
166	0.04697995056
167	0.04696447963
168	0.04696257476
169	0.04670601539
170	0.04658143895
171	0.04643581828
172	0.04626008697
173	0.04615732127
174	0.04615362279
175	0.04609063496
176	0.04599966186
177	0.0459447929
178	0.0458874024
179	0.04568497073
180	0.04564991385
181	0.04556278986
182	0.04543033871
183	0.04538396887
184	0.04523265466
185	0.04507999973
186	0.04489422168
187	0.04484597995
188	0.04467517029
189	0.0445727853
190	0.0444691527
191	0.04434917088
192	0.04423754538
193	0.04419611134
194	0.04409910851
195	0.0438686054
196	0.04372966576
197	0.04372175269
198	0.04362682014
199	0.043425594
200	0.04335949919
201	0.04311938121
202	0.04309615271
203	0.04302981609
204	0.0429070149
205	0.04272032092
206	0.04263233899
207	0.04251746109
208	0.04245116966
209	0.04226216582
210	0.04213818766
211	0.0419973802
212	0.04193036455
213	0.04189895943
214	0.04183553807
215	0.04175960526
216	0.04162222035
217	0.04149151225
218	0.04140116881
219	0.04125343716
220	0.04114440882
221	0.04104485163
222	0.04091754212
223	0.0407705434
224	0.04066456032
225	0.04056545012
226	0.04041164087
227	0.04034376441
228	0.04030857094
229	0.04018151964
230	0.04007993212
231	0.0399989567
232	0.0399508637
233	0.03990284243
234	0.03978264635
235	0.0397464878
236	0.03964465309
237	0.0396069981
238	0.03946992199
239	0.03941713488
240	0.03938188707
241	0.03927676507
242	0.039181004
243	0.03903205922
244	0.03900919019
245	0.03899982086
246	0.03893939073
247	0.03886683305
248	0.03882223488
249	0.03875871652
250	0.03867762054
251	0.03862370303
252	0.03856027715
253	0.03849864266
254	0.03845543035
255	0.03840150017
256	0.03827872854
257	0.0381797081
258	0.03809373692
259	0.03799943102
260	0.03794239387
261	0.03779426373
262	0.03774675084
263	0.03762872138
264	0.03748849846
265	0.03741269929
266	0.03730518181
267	0.03720601736
268	0.0371358074
269	0.03710906692
270	0.03710022115
271	0.03705474105
