iter	Passed	Remaining
398	486489	732782
399	487796	731694
400	489127	730641
401	490460	729590
402	491762	728492
403	493076	727409
404	494365	726290
405	495679	725206
406	496993	724121
407	498286	723004
408	499651	721990
409	500996	720946
410	502284	719818
411	503529	718630
412	504810	717490
413	506140	716420
414	507456	715329
415	508769	714234
416	510118	713187
417	511435	712094
418	512727	710965
419	513980	709781
420	515241	708610
421	516514	707453
422	517619	706067
423	519149	705259
424	520618	704366
425	521889	703202
426	523162	702042
427	524407	700843
428	525806	699849
429	527106	698722
430	528442	697642
431	529826	696624
432	531147	695520
433	532458	694404
434	533791	693315
435	535125	692227
436	536492	691178
437	537842	690107
438	539130	688956
439	540468	687868
440	541740	686695
441	543108	685644
442	544491	684609
443	545710	683367
444	547010	682226
445	548277	681044
446	549504	679811
447	550778	678637
448	552182	677623
449	553448	676436
450	554776	675326
451	556156	674277
452	557510	673196
453	558808	672047
454	560072	670856
455	561311	669635
456	562645	668525
457	563943	667374
458	565270	666255
459	566495	665016
460	567623	663663
461	569427	663099
462	571231	662529
463	572959	661866
464	574385	660852
465	575813	659837
466	577248	658830
467	578676	657811
468	580067	656750
469	581592	655838
470	583154	654965
471	584570	653926
472	586073	652982
473	587486	651936
474	588907	650897
475	590206	649722
476	591569	648618
477	592985	647569
478	594557	646689
479	595939	645601
480	597438	644637
481	598961	643697
482	600514	642786
483	602228	642045
484	603912	641267
485	603919	638713
486	605295	637610
487	606772	636613
488	608223	635587
489	609772	634661
490	611316	633726
491	612681	632606
492	614062	631500
493	615555	630508
494	616845	629306
495	618113	628083
496	619421	626899
497	620925	625912
498	622289	624783
499	623638	623638
500	624986	622491
501	626329	621338
502	627603	620117
503	628606	618628
504	629696	617227
505	630843	615882
506	632309	614848
507	633751	613790
508	635129	612669
509	636411	611454
510	637673	610219
511	638938	608987
512	640212	607765
513	641424	606482
514	642874	605425
515	644384	604422
516	645910	603432
517	647645	602635
518	649018	601499
519	650473	600437
520	651882	599331
521	653178	598121
522	654507	596941
523	655859	595780
524	657160	594573
525	658539	593437
526	659974	592348
527	661278	591142
528	662631	589980
529	663871	588716
530	665178	587511
531	666508	586326
532	667866	585166
533	669121	583915
534	670378	582665
535	671686	581460
536	673049	580301
537	674390	579123
538	675747	577958
539	677067	576761
540	678324	575509
541	679525	574211
542	680786	572964
543	682111	571770
544	683383	570531
545	684753	569373
546	686201	568279
547	687544	567098
548	688912	565937
549	690145	564664
550	691471	563467
551	692756	562237
552	694105	561058
553	695421	559851
554	696754	558658
555	698048	557434
556	699409	556262
557	700706	555039
558	702054	553857
559	703454	552714
560	705000	551684
561	706281	550447
562	707634	549265
563	709016	548105
564	710506	547027
565	711794	545792
566	713202	544650
567	714617	543511
568	715982	542334
569	717303	541123
570	718676	539951
571	720034	538767
572	721476	537644
573	723022	536598
574	724364	535399
575	725683	534183
576	727036	532991
577	728458	531850
578	729828	530670
579	731183	529477
580	732474	528238
581	733839	527052
582	735156	525832
583	736461	524602
584	737726	523344
585	738908	522027
586	740132	520740
587	741355	519453
588	742517	518123
589	743885	516937
590	745184	515703
591	746432	514433
592	747670	513156
593	748896	511871
